tipo,iter,tiempo_ms,gflops,gbps_estimado
iteracion,0,922.950900,4.653517,18.616338
iteracion,1,909.087800,4.724480,18.900228
iteracion,2,869.190000,4.941345,19.767791
iteracion,3,888.517200,4.833859,19.337798
iteracion,4,884.508900,4.855765,19.425431
iteracion,5,846.491000,5.073849,20.297872
iteracion,6,856.965100,5.011835,20.049785
iteracion,7,840.147400,5.112159,20.451133
iteracion,8,843.514400,5.091753,20.369500
iteracion,9,840.680900,5.108915,20.438155
iteracion,10,847.697000,5.066630,20.268995
iteracion,11,842.713000,5.096596,20.388871
iteracion,12,845.026100,5.082645,20.333060
iteracion,13,842.785000,5.096160,20.387129
iteracion,14,842.990300,5.094919,20.382164
iteracion,15,842.431700,5.098297,20.395679
iteracion,16,840.110700,5.112383,20.452027
iteracion,17,843.271000,5.093223,20.375379
iteracion,18,848.701900,5.060631,20.244996
iteracion,19,840.072800,5.112613,20.452949
iteracion,20,845.932200,5.077200,20.311281
iteracion,21,843.329700,5.092869,20.373961
iteracion,22,846.587100,5.073273,20.295568
iteracion,23,844.925500,5.083250,20.335481
iteracion,24,844.551800,5.085499,20.344479
iteracion,25,840.138500,5.112213,20.451350
iteracion,26,843.704200,5.090608,20.364917
iteracion,27,841.647900,5.103045,20.414673
iteracion,28,841.373200,5.104711,20.421338
iteracion,29,840.216300,5.111740,20.449456
iteracion,30,842.344100,5.098828,20.397800
iteracion,31,841.445300,5.104274,20.419588
iteracion,32,843.310100,5.092987,20.374434
iteracion,33,843.322700,5.092911,20.374130
iteracion,34,846.101100,5.076187,20.307226
iteracion,35,839.953700,5.113338,20.455849
iteracion,36,843.614700,5.091148,20.367078
iteracion,37,841.113100,5.106290,20.427653
iteracion,38,849.183600,5.057761,20.233512
iteracion,39,842.142600,5.100048,20.402680
iteracion,40,844.098600,5.088229,20.355402
iteracion,41,838.317400,5.123319,20.495777
iteracion,42,847.018800,5.070687,20.285224
iteracion,43,840.785600,5.108279,20.435610
iteracion,44,842.308400,5.099044,20.398664
iteracion,45,840.517000,5.109911,20.442140
iteracion,46,840.224400,5.111691,20.449259
iteracion,47,840.631300,5.109216,20.439361
iteracion,48,840.005100,5.113025,20.454598
iteracion,49,839.158400,5.118184,20.475236
iteracion,50,839.674800,5.115037,20.462644
iteracion,51,844.661200,5.084840,20.341844
iteracion,52,844.580900,5.085324,20.343778
iteracion,53,840.348900,5.110933,20.446229
iteracion,54,842.626100,5.097121,20.390973
iteracion,55,840.791200,5.108245,20.435474
iteracion,56,845.320800,5.080873,20.325971
iteracion,57,840.442200,5.110366,20.443960
iteracion,58,848.105400,5.064190,20.259235
iteracion,59,839.007200,5.119107,20.478926
iteracion,60,843.269600,5.093232,20.375413
iteracion,61,841.683300,5.102831,20.413814
iteracion,62,843.948900,5.089132,20.359013
iteracion,63,836.356900,5.135328,20.543821
promedio,,846.979264,5.072467,20.292345
min,,836.356900,4.653517,18.616338
max,,922.950900,5.135328,20.543821
total,,54913.307800,,
